timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,prediction,mitigation_steps
2024-09-10 10:00:01,192.168.1.1,10.0.0.2,443,8080,TCP,1500,0,No action
2024-09-10 10:00:02,192.168.1.2,10.0.0.3,443,8080,TCP,1450,0,No action
2024-09-10 10:00:03,192.168.1.1,10.0.0.4,443,8080,TCP,1400,1,rerouting (legit)
2024-09-10 10:00:04,192.168.1.3,10.0.0.2,443,8080,TCP,1350,0,No action
2024-09-10 10:00:05,192.168.1.4,10.0.0.2,443,8080,TCP,1300,1,increase bandwidth (legit)
2024-09-10 10:00:06,192.168.1.1,10.0.0.5,443,8080,TCP,1250,1,Auto-Scaling for Legitimate Traffic(legit)
2024-09-10 10:00:07,192.168.1.5,10.0.0.3,443,8080,TCP,1500,0,No action
2024-09-10 10:00:08,192.168.1.1,10.0.0.2,443,8080,TCP,1450,1,increase bandwidth (legit)
2024-09-10 10:00:09,192.168.1.6,10.0.0.2,443,8080,TCP,1400,0,No action
2024-09-10 10:00:10,192.168.1.7,10.0.0.4,443,8080,TCP,1350,1,Auto-Scaling for Legitimate Traffic(legit)
